x,y,z,nuFissRate,nuFissRateRelError
-1.4478,-9.19476,0,0.002980524,0
-1.44144,-9.60544,0,0.002980524,0
-1.08585,-9.40374,0,0.002980524,0
-1.07956,-9.81364,0,0.002980524,0
-0.7239,-9.61271,0,0.002980524,0
-1.81208,-9.81258,0,0.002980524,0
-1.80975,-9.40374,0,0.002980524,0
-2.1717,-9.61271,0,0.002980524,0
-1.82919,-10.2396,0,0.002980524,0
-2.1717,-10.0307,0,0.002980524,0
-2.1717,-10.4486,0,0.002980524,0
-1.45752,-10.4654,0,0.002980524,0
-1.80975,-10.6576,0,0.002980524,0
-1.4478,-10.8665,0,0.002980524,0
-1.07613,-10.2565,0,0.002980524,0
-1.08585,-10.6576,0,0.002980524,0
-0.7239,-10.4486,0,0.002980524,0
-0.7239,-10.0307,0,0.002980524,0
-1.4387,-10.0492,0,0.002980524,0
5.7912,3.34355,0,0.002980524,0
5.79753,2.933,0,0.002980524,0
6.15315,3.13458,0,0.002980524,0
6.16287,2.73347,0,0.002980524,0
6.5151,2.92561,0,0.002980524,0
5.0673,2.92561,0,0.002980524,0
5.42714,2.72396,0,0.002980524,0
5.42925,3.13458,0,0.002980524,0
5.42268,2.28543,0,0.002980524,0
5.0673,2.08972,0,0.002980524,0
5.42925,1.88075,0,0.002980524,0
5.0673,2.50766,0,0.002980524,0
5.80092,2.07288,0,0.002980524,0
5.7912,1.67178,0,0.002980524,0
6.15315,1.88075,0,0.002980524,0
6.17259,2.29869,0,0.002980524,0
6.5151,2.08972,0,0.002980524,0
6.5151,2.50766,0,0.002980524,0
5.80316,2.49044,0,0.002980524,0
-2.8956,-1.67178,0,0.002980524,0
-2.88927,-2.08233,0,0.002980524,0
-2.53365,-1.88075,0,0.002980524,0
-2.52393,-2.28185,0,0.002980524,0
-2.1717,-2.08972,0,0.002980524,0
-3.6195,-2.08972,0,0.002980524,0
-3.25966,-2.29137,0,0.002980524,0
-3.25755,-1.88075,0,0.002980524,0
-3.26412,-2.7299,0,0.002980524,0
-3.6195,-2.92561,0,0.002980524,0
-3.25755,-3.13458,0,0.002980524,0
-2.88588,-2.94245,0,0.002980524,0
-2.8956,-3.34355,0,0.002980524,0
-2.53365,-3.13458,0,0.002980524,0
-2.88364,-2.52489,0,0.002980524,0
-2.51421,-2.71664,0,0.002980524,0
-2.1717,-2.92561,0,0.002980524,0
-2.1717,-2.50766,0,0.002980524,0
-3.6195,-2.50766,0,0.002980524,0
-8.6868,-1.67178,0,0.002980524,0
-8.68045,-2.08231,0,0.002980524,0
-8.32485,-1.88075,0,0.002980524,0
-8.31513,-2.28185,0,0.002980524,0
-7.9629,-2.08972,0,0.002980524,0
-9.4107,-2.08972,0,0.002980524,0
-9.05095,-2.2896,0,0.002980524,0
-9.04875,-1.88075,0,0.002980524,0
-9.05877,-2.71659,0,0.002980524,0
-9.4107,-2.50766,0,0.002980524,0
-9.4107,-2.92561,0,0.002980524,0
-8.67708,-2.94245,0,0.002980524,0
-8.6868,-3.34355,0,0.002980524,0
-8.32485,-3.13458,0,0.002980524,0
-8.67476,-2.52451,0,0.002980524,0
-8.30541,-2.71664,0,0.002980524,0
-7.9629,-2.92561,0,0.002980524,0
-7.9629,-2.50766,0,0.002980524,0
-9.04875,-3.13458,0,0.002980524,0
-7.239,-1.67178,0,0.002980524,0
-7.23267,-2.08233,0,0.002980524,0
-6.87705,-1.88075,0,0.002980524,0
-6.86733,-2.28185,0,0.002980524,0
-6.5151,-2.08972,0,0.002980524,0
-7.60306,-2.29137,0,0.002980524,0
-7.60095,-1.88075,0,0.002980524,0
-7.60752,-2.7299,0,0.002980524,0
-7.60095,-3.13458,0,0.002980524,0
-7.22928,-2.94245,0,0.002980524,0
-7.239,-3.34355,0,0.002980524,0
-6.87705,-3.13458,0,0.002980524,0
-7.22704,-2.52489,0,0.002980524,0
-6.85761,-2.71664,0,0.002980524,0
-6.5151,-2.92561,0,0.002980524,0
-6.5151,-2.50766,0,0.002980524,0
-5.7912,-1.67178,0,0.002980524,0
-5.78487,-2.08233,0,0.002980524,0
-5.42925,-1.88075,0,0.002980524,0
-5.41953,-2.28185,0,0.002980524,0
-5.0673,-2.08972,0,0.002980524,0
-6.15526,-2.29137,0,0.002980524,0
-6.15315,-1.88075,0,0.002980524,0
-6.15972,-2.7299,0,0.002980524,0
-6.15315,-3.13458,0,0.002980524,0
-5.78148,-2.94245,0,0.002980524,0
-5.7912,-3.34355,0,0.002980524,0
-5.42925,-3.13458,0,0.002980524,0
-5.77924,-2.52489,0,0.002980524,0
-5.40981,-2.71664,0,0.002980524,0
-5.0673,-2.92561,0,0.002980524,0
-5.0673,-2.50766,0,0.002980524,0
-4.3434,-1.67178,0,0.002980524,0
-4.33707,-2.08233,0,0.002980524,0
-3.98145,-1.88075,0,0.002980524,0
-3.97173,-2.28185,0,0.002980524,0
-4.70746,-2.29137,0,0.002980524,0
-4.70535,-1.88075,0,0.002980524,0
-4.71192,-2.7299,0,0.002980524,0
-4.70535,-3.13458,0,0.002980524,0
-4.33368,-2.94245,0,0.002980524,0
-4.3434,-3.34355,0,0.002980524,0
-3.98145,-3.13458,0,0.002980524,0
-4.33144,-2.52489,0,0.002980524,0
-3.96201,-2.71664,0,0.002980524,0
8.6868,-1.67178,0,0.002980524,0
8.69313,-2.08233,0,0.002980524,0
9.04875,-1.88075,0,0.002980524,0
9.05847,-2.28185,0,0.002980524,0
9.4107,-2.08972,0,0.002980524,0
8.32274,-2.29137,0,0.002980524,0
8.32485,-1.88075,0,0.002980524,0
7.9629,-2.08972,0,0.002980524,0
8.31828,-2.7299,0,0.002980524,0
7.9629,-2.92561,0,0.002980524,0
8.32485,-3.13458,0,0.002980524,0
8.69652,-2.94245,0,0.002980524,0
8.6868,-3.34355,0,0.002980524,0
9.04875,-3.13458,0,0.002980524,0
8.69876,-2.52489,0,0.002980524,0
9.06819,-2.71664,0,0.002980524,0
9.4107,-2.92561,0,0.002980524,0
9.4107,-2.50766,0,0.002980524,0
7.9629,-2.50766,0,0.002980524,0
10.1346,3.34355,0,0.002980524,0
10.141,2.93302,0,0.002980524,0
10.4966,3.13458,0,0.002980524,0
10.5063,2.73347,0,0.002980524,0
10.8585,2.92561,0,0.002980524,0
9.4107,2.92561,0,0.002980524,0
9.77045,2.72573,0,0.002980524,0
9.77265,3.13458,0,0.002980524,0
9.76263,2.29873,0,0.002980524,0
9.4107,2.50766,0,0.002980524,0
9.4107,2.08972,0,0.002980524,0
10.1443,2.07288,0,0.002980524,0
10.1346,1.67178,0,0.002980524,0
10.4966,1.88075,0,0.002980524,0
10.1466,2.49081,0,0.002980524,0
10.516,2.29869,0,0.002980524,0
10.8585,2.08972,0,0.002980524,0
10.8585,2.50766,0,0.002980524,0
9.77265,1.88075,0,0.002980524,0
-9.4107,4.59738,0,0.002980524,0
-9.40435,4.18685,0,0.002980524,0
-9.04875,4.38841,0,0.002980524,0
-9.03903,3.98731,0,0.002980524,0
-8.6868,4.17944,0,0.002980524,0
-9.77485,3.97956,0,0.002980524,0
-9.77265,4.38841,0,0.002980524,0
-10.1346,4.17944,0,0.002980524,0
-9.78267,3.55256,0,0.002980524,0
-10.1346,3.76149,0,0.002980524,0
-10.1346,3.34355,0,0.002980524,0
-9.40098,3.32671,0,0.002980524,0
-9.4107,2.92561,0,0.002980524,0
-9.04875,3.13458,0,0.002980524,0
-9.02931,3.55252,0,0.002980524,0
-8.6868,3.34355,0,0.002980524,0
-8.6868,3.76149,0,0.002980524,0
-9.77265,3.13458,0,0.002980524,0
-9.39866,3.74465,0,0.002980524,0
5.7912,-4.17944,0,0.002980524,0
5.79754,-4.59024,0,0.002980524,0
6.15315,-4.38841,0,0.002980524,0
6.16287,-4.78951,0,0.002980524,0
6.5151,-4.59738,0,0.002980524,0
5.0673,-4.59738,0,0.002980524,0
5.42724,-4.79912,0,0.002980524,0
5.42925,-4.38841,0,0.002980524,0
5.42164,-5.23708,0,0.002980524,0
5.0673,-5.43327,0,0.002980524,0
5.42925,-5.64224,0,0.002980524,0
5.0673,-5.01533,0,0.002980524,0
5.78449,-5.44734,0,0.002980524,0
5.7912,-5.85121,0,0.002980524,0
6.17259,-5.2243,0,0.002980524,0
6.5151,-5.43327,0,0.002980524,0
6.5151,-5.01533,0,0.002980524,0
5.80317,-5.03386,0,0.002980524,0
6.15315,-5.64224,0,0.002980524,0
7.239,-4.17944,0,0.002980524,0
7.24534,-4.59024,0,0.002980524,0
7.60095,-4.38841,0,0.002980524,0
7.61067,-4.78951,0,0.002980524,0
7.9629,-4.59738,0,0.002980524,0
6.87504,-4.79912,0,0.002980524,0
6.87705,-4.38841,0,0.002980524,0
6.86944,-5.23708,0,0.002980524,0
6.87705,-5.64224,0,0.002980524,0
7.23229,-5.44734,0,0.002980524,0
7.239,-5.85121,0,0.002980524,0
7.62039,-5.2243,0,0.002980524,0
7.9629,-5.43327,0,0.002980524,0
7.9629,-5.01533,0,0.002980524,0
7.25097,-5.03386,0,0.002980524,0
7.60095,-5.64224,0,0.002980524,0
8.6868,-4.17944,0,0.002980524,0
8.69314,-4.59024,0,0.002980524,0
9.04875,-4.38841,0,0.002980524,0
9.05847,-4.78951,0,0.002980524,0
9.4107,-4.59738,0,0.002980524,0
8.32284,-4.79912,0,0.002980524,0
8.32485,-4.38841,0,0.002980524,0
8.31724,-5.23708,0,0.002980524,0
8.32485,-5.64224,0,0.002980524,0
8.68009,-5.44734,0,0.002980524,0
8.6868,-5.85121,0,0.002980524,0
9.06819,-5.2243,0,0.002980524,0
9.4107,-5.43327,0,0.002980524,0
9.4107,-5.01533,0,0.002980524,0
8.69877,-5.03386,0,0.002980524,0
9.04875,-5.64224,0,0.002980524,0
-9.40435,-3.33614,0,0.002980524,0
-9.03903,-3.53568,0,0.002980524,0
-10.1346,-3.34355,0,0.002980524,0
-9.77485,-3.54343,0,0.002980524,0
-9.77265,-3.13458,0,0.002980524,0
-9.78267,-3.97042,0,0.002980524,0
-10.1346,-3.76149,0,0.002980524,0
-10.1346,-4.17944,0,0.002980524,0
-9.40098,-4.19628,0,0.002980524,0
-9.4107,-4.59738,0,0.002980524,0
-9.04875,-4.38841,0,0.002980524,0
-9.39866,-3.77834,0,0.002980524,0
