
=============================================================================================================================================================================

                                                                             Core map (t=0)

=============================================================================================================================================================================
 Block average:
  Blk ID          Volume Fission neutron           Power      Absorption     Scalar flux
       9     1550.566789    0.000000e+00    0.000000e+00    4.234675e-09    8.399935e-04
     101       22.593191    2.297156e-05    3.057481e-16    1.385081e-05    4.766468e-04
     102       22.593191    4.467663e-05    5.949343e-16    2.671736e-05    8.141400e-04
     103       22.593191    6.258948e-05    8.335382e-16    3.743717e-05    1.113433e-03
     104       22.593191    7.904949e-05    1.052781e-15    4.723990e-05    1.386563e-03
     105       22.593191    9.289240e-05    1.237152e-15    5.555998e-05    1.630993e-03
     106       22.593191    1.055426e-04    1.405642e-15    6.305416e-05    1.843102e-03
     107       22.593191    1.159065e-04    1.543673e-15    6.928524e-05    2.018361e-03
     108       22.593191    1.237554e-04    1.648207e-15    7.397461e-05    2.153015e-03
     109       22.593191    1.287523e-04    1.714757e-15    7.688183e-05    2.244025e-03
     110       22.593191    1.311881e-04    1.747193e-15    7.840639e-05    2.289546e-03
     111       22.593191    1.310273e-04    1.745049e-15    7.832788e-05    2.289068e-03
     112       22.593191    1.284504e-04    1.710742e-15    7.679576e-05    2.243017e-03
     113       22.593191    1.233546e-04    1.642872e-15    7.374808e-05    2.152390e-03
     114       22.593191    1.157703e-04    1.541866e-15    6.915569e-05    2.018337e-03
     115       22.593191    1.058343e-04    1.409525e-15    6.320301e-05    1.843521e-03
     116       22.593191    9.347029e-05    1.244854e-15    5.581495e-05    1.631999e-03
     117       22.593191    7.919536e-05    1.054719e-15    4.735591e-05    1.387447e-03
     118       22.593191    6.261221e-05    8.338465e-16    3.747093e-05    1.113201e-03
     119       22.593191    4.457571e-05    5.935778e-16    2.668117e-05    8.138683e-04
     120       22.593191    2.308456e-05    3.072528e-16    1.388057e-05    4.769221e-04
     201       38.731184    2.239247e-05    2.980374e-16    1.348715e-05    4.652609e-04
     202       38.731184    4.367791e-05    5.816357e-16    2.612911e-05    7.950113e-04
     203       38.731184    6.158615e-05    8.201908e-16    3.681089e-05    1.087482e-03
     204       38.731184    7.725104e-05    1.028833e-15    4.618171e-05    1.354491e-03
     205       38.731184    9.115543e-05    1.214030e-15    5.448843e-05    1.593102e-03
     206       38.731184    1.032018e-04    1.374474e-15    6.169260e-05    1.799967e-03
     207       38.731184    1.131296e-04    1.506692e-15    6.758464e-05    1.970640e-03
     208       38.731184    1.206226e-04    1.606481e-15    7.212055e-05    2.102150e-03
     209       38.731184    1.257342e-04    1.674569e-15    7.514647e-05    2.191186e-03
     210       38.731184    1.283339e-04    1.709190e-15    7.669187e-05    2.236129e-03
     211       38.731184    1.280983e-04    1.706036e-15    7.657083e-05    2.235750e-03
     212       38.731184    1.254090e-04    1.670230e-15    7.495978e-05    2.190554e-03
     213       38.731184    1.208787e-04    1.609912e-15    7.217197e-05    2.101903e-03
     214       38.731184    1.129507e-04    1.504313e-15    6.751888e-05    1.970822e-03
     215       38.731184    1.033401e-04    1.376320e-15    6.177279e-05    1.800125e-03
     216       38.731184    9.109184e-05    1.213176e-15    5.445701e-05    1.593643e-03
     217       38.731184    7.716370e-05    1.027675e-15    4.616447e-05    1.354846e-03
     218       38.731184    6.150672e-05    8.191305e-16    3.679464e-05    1.087190e-03
     219       38.731184    4.349027e-05    5.791301e-16    2.603498e-05    7.949476e-04
     220       38.731184    2.259673e-05    3.007564e-16    1.359105e-05    4.656090e-04
     301       58.096777    2.178387e-05    2.899457e-16    1.309975e-05    4.477148e-04
     302       58.096777    4.196519e-05    5.588255e-16    2.513882e-05    7.650071e-04
     303       58.096777    5.939013e-05    7.909491e-16    3.551627e-05    1.046761e-03
     304       58.096777    7.473239e-05    9.953050e-16    4.466893e-05    1.304124e-03
     305       58.096777    8.804640e-05    1.172636e-15    5.262360e-05    1.533750e-03
     306       58.096777    9.959247e-05    1.326411e-15    5.952194e-05    1.732610e-03
     307       58.096777    1.091788e-04    1.454086e-15    6.520834e-05    1.896832e-03
     308       58.096777    1.163258e-04    1.549276e-15    6.951027e-05    2.023426e-03
     309       58.096777    1.214476e-04    1.617494e-15    7.254560e-05    2.109467e-03
     310       58.096777    1.240707e-04    1.652429e-15    7.411790e-05    2.152678e-03
     311       58.096777    1.240186e-04    1.651730e-15    7.411822e-05    2.152464e-03
     312       58.096777    1.212153e-04    1.614387e-15    7.242166e-05    2.108893e-03
     313       58.096777    1.164575e-04    1.551035e-15    6.955562e-05    2.023222e-03
     314       58.096777    1.092854e-04    1.455511e-15    6.525944e-05    1.897240e-03
     315       58.096777    9.962008e-05    1.326774e-15    5.952425e-05    1.732925e-03
     316       58.096777    8.818342e-05    1.174458e-15    5.270174e-05    1.534186e-03
     317       58.096777    7.459494e-05    9.934702e-16    4.459062e-05    1.304169e-03
     318       58.096777    5.923342e-05    7.888568e-16    3.542497e-05    1.046689e-03
     319       58.096777    4.202888e-05    5.596740e-16    2.515918e-05    7.653381e-04
     320       58.096777    2.174866e-05    2.894746e-16    1.308991e-05    4.480032e-04
     401       77.462369    2.073027e-05    2.759302e-16    1.246604e-05    4.235301e-04
     402       77.462369    3.987099e-05    5.309480e-16    2.389084e-05    7.240511e-04
     403       77.462369    5.657090e-05    7.534188e-16    3.379754e-05    9.907335e-04
     404       77.462369    7.097176e-05    9.452324e-16    4.239993e-05    1.234391e-03
     405       77.462369    8.397302e-05    1.118402e-15    5.017818e-05    1.451991e-03
     406       77.462369    9.481146e-05    1.262757e-15    5.664110e-05    1.640126e-03
     407       77.462369    1.038084e-04    1.382585e-15    6.200880e-05    1.795512e-03
     408       77.462369    1.109450e-04    1.477645e-15    6.625752e-05    1.915154e-03
     409       77.462369    1.155145e-04    1.538500e-15    6.900265e-05    1.996482e-03
     410       77.462369    1.180509e-04    1.572281e-15    7.052913e-05    2.037545e-03
     411       77.462369    1.178163e-04    1.569151e-15    7.038814e-05    2.037344e-03
     412       77.462369    1.155002e-04    1.538314e-15    6.901364e-05    1.996277e-03
     413       77.462369    1.108331e-04    1.476146e-15    6.621008e-05    1.915078e-03
     414       77.462369    1.037852e-04    1.382280e-15    6.201513e-05    1.795742e-03
     415       77.462369    9.486447e-05    1.263464e-15    5.665105e-05    1.640488e-03
     416       77.462369    8.387592e-05    1.117111e-15    5.011936e-05    1.452237e-03
     417       77.462369    7.109793e-05    9.469136e-16    4.246337e-05    1.234638e-03
     418       77.462369    5.634453e-05    7.503977e-16    3.369799e-05    9.909156e-04
     419       77.462369    4.027870e-05    5.363846e-16    2.409027e-05    7.245195e-04
     420       77.462369    2.062021e-05    2.744619e-16    1.239475e-05    4.236906e-04
     501       96.827961    1.940001e-05    2.582305e-16    1.166028e-05    3.930681e-04
     502       96.827961    3.748319e-05    4.991710e-16    2.242562e-05    6.726772e-04
