Block Name,Point ID,material_id,Points_0,Points_1,Points_2,Points_Magnitude
block_101,0,101,0,0.835888,1.778,1.96469
block_101,1,101,0.00636137,0.42521,1.778,1.82815
block_101,2,101,0.36195,0.626916,1.778,1.91972
block_101,3,101,0,0.835888,0,0.835888
block_101,4,101,0.00636137,0.42521,0,0.425257
block_101,5,101,0.36195,0.626916,0,0.7239
block_101,6,101,0.368245,0.217017,1.778,1.82866
block_101,7,101,0.7239,0.417944,1.778,1.96469
block_101,8,101,0.368245,0.217017,0,0.427435
block_101,9,101,0.7239,0.417944,0,0.835888
block_101,10,101,-0.364276,0.218077,1.778,1.82799
block_101,11,101,-0.36195,0.626916,1.778,1.91972
block_101,12,101,-0.364276,0.218077,0,0.424564
block_101,13,101,-0.36195,0.626916,0,0.7239
block_101,14,101,-0.7239,0.417944,1.778,1.96469
block_101,15,101,-0.7239,0.417944,0,0.835888
block_101,16,101,-0.381395,-0.208972,1.778,1.83041
block_101,17,101,-0.7239,5.55112e-17,1.778,1.91972
block_101,18,101,-0.7239,-0.417944,1.778,1.96469
block_101,19,101,-0.381395,-0.208972,0,0.434892
block_101,20,101,-0.7239,5.55112e-17,0,0.7239
block_101,21,101,-0.7239,-0.417944,0,0.835888
block_101,22,101,0,-0.835888,1.778,1.96469
block_101,23,101,-0.00972244,-0.434784,1.778,1.83041
block_101,24,101,-0.36195,-0.626916,1.778,1.91972
block_101,25,101,0,-0.835888,0,0.835888
block_101,26,101,-0.00972244,-0.434784,0,0.434892
block_101,27,101,-0.36195,-0.626916,0,0.7239
block_101,28,101,0.371672,-0.225812,1.778,1.83041
block_101,29,101,0.36195,-0.626916,1.778,1.91972
block_101,30,101,0.371672,-0.225812,0,0.434892
block_101,31,101,0.36195,-0.626916,0,0.7239
block_101,32,101,0.7239,-0.417944,1.778,1.96469
block_101,33,101,0.7239,-0.417944,0,0.835888
block_101,34,101,0.7239,-5.55112e-17,1.778,1.91972
