Block Name,Point ID,flux_moment_g0_L0_M0,flux_moment_g0_L1_M-1,flux_moment_g0_L1_M0,flux_moment_g0_L1_M1,flux_moment_g10_L0_M0,flux_moment_g10_L1_M-1,flux_moment_g10_L1_M0,flux_moment_g10_L1_M1,flux_moment_g11_L0_M0,flux_moment_g11_L1_M-1,flux_moment_g11_L1_M0,flux_moment_g11_L1_M1,flux_moment_g12_L0_M0,flux_moment_g12_L1_M-1,flux_moment_g12_L1_M0,flux_moment_g12_L1_M1,flux_moment_g13_L0_M0,flux_moment_g13_L1_M-1,flux_moment_g13_L1_M0,flux_moment_g13_L1_M1,flux_moment_g14_L0_M0,flux_moment_g14_L1_M-1,flux_moment_g14_L1_M0,flux_moment_g14_L1_M1,flux_moment_g15_L0_M0,flux_moment_g15_L1_M-1,flux_moment_g15_L1_M0,flux_moment_g15_L1_M1,flux_moment_g16_L0_M0,flux_moment_g16_L1_M-1,flux_moment_g16_L1_M0,flux_moment_g16_L1_M1,flux_moment_g17_L0_M0,flux_moment_g17_L1_M-1,flux_moment_g17_L1_M0,flux_moment_g17_L1_M1,flux_moment_g1_L0_M0,flux_moment_g1_L1_M-1,flux_moment_g1_L1_M0,flux_moment_g1_L1_M1,flux_moment_g2_L0_M0,flux_moment_g2_L1_M-1,flux_moment_g2_L1_M0,flux_moment_g2_L1_M1,flux_moment_g3_L0_M0,flux_moment_g3_L1_M-1,flux_moment_g3_L1_M0,flux_moment_g3_L1_M1,flux_moment_g4_L0_M0,flux_moment_g4_L1_M-1,flux_moment_g4_L1_M0,flux_moment_g4_L1_M1,flux_moment_g5_L0_M0,flux_moment_g5_L1_M-1,flux_moment_g5_L1_M0,flux_moment_g5_L1_M1,flux_moment_g6_L0_M0,flux_moment_g6_L1_M-1,flux_moment_g6_L1_M0,flux_moment_g6_L1_M1,flux_moment_g7_L0_M0,flux_moment_g7_L1_M-1,flux_moment_g7_L1_M0,flux_moment_g7_L1_M1,flux_moment_g8_L0_M0,flux_moment_g8_L1_M-1,flux_moment_g8_L1_M0,flux_moment_g8_L1_M1,flux_moment_g9_L0_M0,flux_moment_g9_L1_M-1,flux_moment_g9_L1_M0,flux_moment_g9_L1_M1,griffin_power_density,griffin_Tcool,griffin_Tfuel,material_id,Points_0,Points_1,Points_2,Points_Magnitude
block_101,0,0.00151595,-0.00063043,1.75966e-07,-1.45001e-08,0.00569643,-0.000939722,3.43086e-07,-6.40736e-08,0.00406186,-0.000665722,2.5483e-07,-4.86434e-08,0.00427283,-0.000707253,2.8721e-07,-5.49957e-08,0.00390645,-0.000659911,2.87892e-07,-5.49315e-08,0.0030521,-0.000482998,2.22972e-07,-4.57092e-08,0.00453696,-0.000539812,2.70757e-07,-7.09749e-08,0.00248703,-0.000146817,7.42133e-08,-3.79778e-08,0.000303636,-7.49879e-06,2.71212e-09,-4.88547e-09,0.00980956,-0.00375605,8.19246e-07,-7.25638e-08,0.0223566,-0.00768569,1.75053e-06,-1.66345e-07,0.0148105,-0.00459131,1.09068e-06,-1.12102e-07,0.0169345,-0.00466696,1.16939e-06,-1.31685e-07,0.019187,-0.0044207,1.18684e-06,-1.54568e-07,0.0144437,-0.00255511,7.35303e-07,-1.19759e-07,0.00979442,-0.00152261,4.67254e-07,-8.51609e-08,0.00936161,-0.00152793,4.97801e-07,-8.87326e-08,0.00853612,-0.00139599,4.82736e-07,-8.8699e-08,0,300,300,101,0,0.835888,1.778,1.96469
block_101,1,0.00151593,-0.000630425,1.37466e-07,9.68035e-08,0.00569631,-0.000939704,4.19022e-07,4.13097e-07,0.00406177,-0.000665708,3.12419e-07,3.10031e-07,0.00427273,-0.000707237,3.51923e-07,3.48409e-07,0.00390635,-0.000659894,3.51982e-07,3.44972e-07,0.00305202,-0.000482985,2.77021e-07,2.81576e-07,0.00453688,-0.0005398,3.55498e-07,4.40308e-07,0.00248703,-0.000146818,1.10957e-07,2.06597e-07,0.000303623,-7.49844e-06,4.69321e-09,8.49414e-09,0.00980947,-0.00375602,7.11931e-07,5.63749e-07,0.0223563,-0.00768561,1.6181e-06,1.25371e-06,0.0148102,-0.00459125,1.06818e-06,8.00934e-07,0.0169341,-0.00466689,1.20701e-06,9.05037e-07,0.0191865,-0.00442062,1.30514e-06,1.02359e-06,0.0144434,-0.00255507,8.71701e-07,7.77367e-07,0.00979425,-0.00152259,5.70629e-07,5.56712e-07,0.00936144,-0.0015279,6.0414e-07,5.89216e-07,0.00853594,-0.00139596,5.88333e-07,5.78531e-07,0,300,300,101,0.00636137,0.42521,1.778,1.82815
block_101,2,0.00151603,-0.000630448,1.6878e-07,-1.16983e-07,0.0056966,-0.000939752,3.34765e-07,-2.45919e-07,0.004062,-0.000665744,2.4882e-07,-1.836e-07,0.00427298,-0.000707279,2.80389e-07,-2.07299e-07,0.0039066,-0.000659937,2.82377e-07,-2.0868e-07,0.00305223,-0.000483018,2.1765e-07,-1.63146e-07,0.0045372,-0.000539841,2.32025e-07,-1.91162e-07,0.00248722,-0.000146829,3.0376e-08,-4.80046e-08,0.000303653,-7.49926e-06,2.28302e-09,-5.64226e-09,0.00980997,-0.00375612,7.5196e-07,-5.24518e-07,0.0223575,-0.00768586,1.63724e-06,-1.14091e-06,0.014811,-0.00459141,1.05749e-06,-7.33153e-07,0.016935,-0.00466706,1.16237e-06,-8.06106e-07,0.0191874,-0.00442079,1.20356e-06,-8.41389e-07,0.014444,-0.00255517,7.42805e-07,-5.31456e-07,0.00979466,-0.00152265,4.56832e-07,-3.33717e-07,0.00936186,-0.00152797,4.83087e-07,-3.51845e-07,0.00853636,-0.00139603,4.69635e-07,-3.44032e-07,0,300,300,101,0.36195,0.626916,1.778,1.91972
block_101,3,0.000939456,-0.000569417,1.26612e-07,-2.14726e-08,0.00199662,-0.00101901,9.86478e-08,-9.64959e-08,0.00140802,-0.000718115,7.20339e-08,-7.25535e-08,0.00147306,-0.000755949,8.08925e-08,-8.15111e-08,0.00134661,-0.000696732,8.13069e-08,-8.07196e-08,0.00102604,-0.000517734,5.97859e-08,-6.63132e-08,0.00135517,-0.000626611,5.76475e-08,-1.04444e-07,0.000582845,-0.000207029,5.62003e-09,-5.30353e-08,7.13003e-05,-1.39286e-05,-1.45921e-10,-4.05227e-09,0.00562397,-0.00340723,5.12196e-07,-1.23177e-07,0.01211,-0.00714538,9.95519e-07,-2.80259e-07,0.00770106,-0.00439077,5.70516e-07,-1.83365e-07,0.00837701,-0.00461072,5.61491e-07,-2.10638e-07,0.00879691,-0.00460237,5.04024e-07,-2.41296e-07,0.00589825,-0.00287494,2.58191e-07,-1.84279e-07,0.00366701,-0.00176548,1.45119e-07,-1.31295e-07,0.00340636,-0.00171141,1.50647e-07,-1.37318e-07,0.00302987,-0.00153512,1.41295e-07,-1.35071e-07,0,300,300,101,0,0.835888,0,0.835888
block_101,4,0.00093944,-0.00056941,9.28231e-08,6.05487e-08,0.00199649,-0.00101899,1.68326e-07,1.75007e-07,0.00140793,-0.000718099,1.24329e-07,1.30208e-07,0.00147295,-0.000755931,1.394e-07,1.45511e-07,0.0013465,-0.000696713,1.3916e-07,1.43762e-07,0.00102596,-0.00051772,1.07297e-07,1.15083e-07,0.00135504,-0.000626602,1.26235e-07,1.62822e-07,0.000582759,-0.000207033,3.11018e-08,6.02182e-08,7.12832e-05,-1.39286e-05,1.06605e-09,1.9857e-09,0.00562386,-0.0034072,4.27019e-07,3.05925e-07,0.0121097,-0.00714528,9.18353e-07,6.57274e-07,0.0077008,-0.00439069,5.83298e-07,4.16154e-07,0.00837667,-0.00461063,6.33051e-07,4.62866e-07,0.00879651,-0.00460227,6.45617e-07,5.07612e-07,0.00589797,-0.00287489,3.9432e-07,3.6186e-07,0.00366683,-0.00176545,2.42376e-07,2.45752e-07,0.00340617,-0.00171138,2.50585e-07,2.56004e-07,0.00302969,-0.00153509,2.3911e-07,2.47367e-07,0,300,300,101,0.00636137,0.42521,0,0.425257
block_101,5,0.000939528,-0.00056944,1.36667e-07,-1.05355e-07,0.00199674,-0.00101905,1.77127e-07,-1.97399e-07,0.00140812,-0.00071814,1.31087e-07,-1.47196e-07,0.00147317,-0.000755977,1.47025e-07,-1.65366e-07,0.00134671,-0.00069676,1.47324e-07,-1.64876e-07,0.00102613,-0.000517756,1.13643e-07,-1.30934e-07,0.00135532,-0.000626645,1.26319e-07,-1.76119e-07,0.000582924,-0.000207045,2.89525e-08,-6.98326e-08,7.13054e-05,-1.39295e-05,2.91785e-09,-5.77998e-09,0.0056243,-0.00340734,5.71651e-07,-4.71001e-07,0.0121107,-0.0071456,1.16745e-06,-9.85298e-07,0.00770144,-0.00439089,7.12196e-07,-6.08295e-07,0.00837739,-0.00461084,7.45025e-07,-6.50551e-07,0.00879729,-0.00460248,7.28855e-07,-6.66289e-07,0.00589851,-0.002875,4.25695e-07,-4.28179e-07,0.00366719,-0.00176552,2.54066e-07,-2.75824e-07,0.00340654,-0.00171146,2.61351e-07,-2.86312e-07,0.00303005,-0.00153516,2.5062e-07,-2.7789e-07,0,300,300,101,0.36195,0.626916,0,0.7239
block_101,6,0.00151597,-0.000630432,-3.89549e-08,5.48081e-08,0.00569661,-0.000939767,-2.78024e-07,4.02694e-07,0.004062,-0.000665756,-2.10577e-07,3.04754e-07,0.00427299,-0.000707292,-2.3572e-07,3.41741e-07,0.0039066,-0.000659949,-2.31268e-07,3.35347e-07,0.00305225,-0.00048303,-1.9766e-07,2.85289e-07,0.00453737,-0.000539865,-3.56513e-07,5.22162e-07,0.0024875,-0.000146846,-2.26233e-07,3.20528e-07,0.000303672,-7.4997e-06,-1.86181e-08,1.95562e-08,0.00980972,-0.00375605,-2.49776e-07,3.81624e-07,0.0223569,-0.0076857,-5.75035e-07,8.47056e-07,0.0148106,-0.00459133,-3.77093e-07,5.26907e-07,0.0169346,-0.004667,-4.46814e-07,6.05245e-07,0.0191871,-0.00442075,-5.54899e-07,7.4446e-07,0.0144439,-0.00255518,-4.93017e-07,6.81739e-07,0.00979468,-0.00152266,-3.80253e-07,5.40594e-07,0.00936187,-0.00152799,-3.91208e-07,5.67338e-07,0.00853637,-0.00139605,-3.88438e-07,5.62265e-07,0,300,300,101,0.368245,0.217017,1.778,1.82866
block_101,7,0.00151607,-0.000630455,-3.95514e-08,-1.48409e-07,0.00569739,-0.000939901,-3.54945e-07,-3.78481e-07,0.00406259,-0.000665857,-2.69205e-07,-2.84207e-07,0.00427365,-0.000707408,-3.02171e-07,-3.20346e-07,0.00390725,-0.000660066,-2.97235e-07,-3.21065e-07,0.00305281,-0.000483125,-2.53554e-07,-2.57098e-07,0.00453837,-0.000539989,-4.59443e-07,-3.31287e-07,0.00248826,-0.000146888,-3.09935e-07,-1.09578e-07,0.000303798,-7.50284e-06,-3.37843e-08,-1.05272e-08,0.00981028,-0.00375616,-2.71496e-07,-6.42184e-07,0.0223584,-0.007686,-6.59685e-07,-1.41294e-06,0.0148117,-0.00459156,-4.52647e-07,-9.29394e-07,0.0169359,-0.00466727,-5.5741e-07,-1.04587e-06,0.0191888,-0.00442108,-7.14916e-07,-1.13578e-06,0.0144454,-0.00255542,-6.3801e-07,-7.72381e-07,0.00979576,-0.00152283,-4.87884e-07,-5.076e-07,0.00936296,-0.00152817,-4.99467e-07,-5.34144e-07,0.00853745,-0.00139623,-4.95749e-07,-5.26966e-07,0,300,300,101,0.7239,0.417944,1.778,1.96469
block_101,8,0.000939462,-0.00056942,-2.77188e-08,3.38632e-08,0.00199661,-0.00101907,-1.38174e-07,2.15289e-07,0.00140802,-0.000718154,-1.03676e-07,1.6163e-07,0.00147305,-0.000755992,-1.1547e-07,1.803e-07,0.0013466,-0.000696773,-1.13242e-07,1.76832e-07,0.00102604,-0.00051777,-9.46323e-08,1.47361e-07,0.00135519,-0.000626681,-1.53909e-07,2.41492e-07,0.000582863,-0.000207075,-8.17476e-08,1.24186e-07,7.12894e-05,-1.39313e-05,-6.09153e-09,7.9947e-09,0.00562397,-0.00340725,-1.56373e-07,2.03174e-07,0.01211,-0.00714542,-3.56973e-07,4.6398e-07,0.00770098,-0.0043908,-2.37058e-07,3.06899e-07,0.00837689,-0.00461077,-2.78554e-07,3.65793e-07,0.00879678,-0.00460244,-3.32962e-07,4.54247e-07,0.00589822,-0.00287503,-2.72062e-07,3.949e-07,0.00366701,-0.00176555,-1.96911e-07,2.97275e-07,0.00340635,-0.00171149,-1.99709e-07,3.09094e-07,0.00302986,-0.00153519,-1.94837e-07,3.02686e-07,0,300,300,101,0.368245,0.217017,0,0.427435
block_101,9,0.00093954,-0.000569449,-2.20888e-08,-1.3192e-07,0.00199716,-0.00101922,-1.58129e-07,-2.6367e-07,0.00140843,-0.000718272,-1.18906e-07,-1.97433e-07,0.00147352,-0.000756124,-1.32866e-07,-2.2154e-07,0.00134706,-0.000696905,-1.30672e-07,-2.20283e-07,0.00102643,-0.000517876,-1.09211e-07,-1.77917e-07,0.00135587,-0.000626822,-1.80273e-07,-2.51609e-07,0.00058336,-0.000207126,-1.08782e-07,-1.07741e-07,7.13701e-05,-1.39352e-05,-1.37424e-08,-8.33358e-09,0.00562441,-0.0034074,-1.30502e-07,-5.71362e-07,0.0121111,-0.0071458,-3.30611e-07,-1.18899e-06,0.00770181,-0.00439108,-2.3984e-07,-7.36311e-07,0.00837794,-0.00461112,-3.01932e-07,-7.91807e-07,0.00879811,-0.00460285,-3.8239e-07,-8.25619e-07,0.00589931,-0.00287533,-3.18115e-07,-5.55334e-07,0.00366779,-0.00176576,-2.27999e-07,-3.67288e-07,0.00340713,-0.00171171,-2.28713e-07,-3.79235e-07,0.00303063,-0.00153541,-2.22983e-07,-3.70006e-07,0,300,300,101,0.7239,0.417944,0,0.835888
