
=============================================================================================================================================================================

                                                                             Core map (t=0)

=============================================================================================================================================================================
 Block average:
  Blk ID          Volume Fission neutron           Power      Absorption     Scalar flux
       9        0.001341    0.000000e+00    0.000000e+00    1.471949e+01    9.962633e+01
      20        0.001174    0.000000e+00    0.000000e+00    0.000000e+00    5.636815e+00
      40        0.001290    0.000000e+00    0.000000e+00    0.000000e+00    5.726674e+00
      71        0.000037    3.409114e+02    4.539865e-09    2.069325e+02    6.311293e+01
      72        0.000063    3.350963e+02    4.462475e-09    2.033693e+02    6.179511e+01
      73        0.000095    3.252169e+02    4.330975e-09    1.972800e+02    5.974975e+01
      74        0.000127    3.118589e+02    4.153162e-09    1.891379e+02    5.696238e+01
      75        0.000158    2.965032e+02    3.948832e-09    1.797694e+02    5.349484e+01
      76        0.000190    2.792938e+02    3.719902e-09    1.691690e+02    4.945147e+01
      77        0.000222    2.665040e+02    3.550062e-09    1.609167e+02    4.494729e+01
      78        0.000222    2.707276e+02    3.607273e-09    1.624142e+02    4.066232e+01
      79        0.000127    0.000000e+00    0.000000e+00    5.156493e+00    3.819784e+01
      81        0.000028    3.730911e+02    4.968985e-09    2.269534e+02    6.819335e+01
      82        0.000047    3.658386e+02    4.872454e-09    2.224154e+02    6.678950e+01
      83        0.000071    3.548594e+02    4.726298e-09    2.156924e+02    6.460792e+01
      84        0.000095    3.412172e+02    4.544694e-09    2.073621e+02    6.164639e+01
      85        0.000118    3.252417e+02    4.332103e-09    1.974804e+02    5.799278e+01
      86        0.000142    3.080339e+02    4.103198e-09    1.868452e+02    5.375093e+01
      87        0.000166    2.951044e+02    3.931490e-09    1.784440e+02    4.906118e+01
      88        0.000166    3.032506e+02    4.041056e-09    1.821094e+02    4.468379e+01
      89        0.000095    0.000000e+00    0.000000e+00    5.717434e+00    4.216973e+01
     101        0.000049    6.160312e+02    8.204573e-09    3.728913e+02    1.081268e+02
     102        0.000084    6.048943e+02    8.056265e-09    3.661314e+02    1.059410e+02
     103        0.000126    5.879966e+02    7.831319e-09    3.558304e+02    1.025560e+02
     104        0.000168    5.649237e+02    7.524175e-09    3.417504e+02    9.795213e+01
     105        0.000210    5.386789e+02    7.174915e-09    3.256672e+02    9.227733e+01
     106        0.000251    5.118222e+02    6.817691e-09    3.089996e+02    8.571597e+01
     107        0.000293    4.938257e+02    6.578908e-09    2.973109e+02    7.849166e+01
     108        0.000293    5.133973e+02    6.841531e-09    3.069138e+02    7.159597e+01
     124        0.000161    0.000000e+00    0.000000e+00    2.276769e+00    1.971009e+01
     125        0.000129    0.000000e+00    0.000000e+00    1.525322e+00    1.487906e+01
     126        0.000142    0.000000e+00    0.000000e+00    1.101667e+00    1.165427e+01
     127        0.000155    0.000000e+00    0.000000e+00    7.951567e-01    8.765684e+00
     128        0.000204    0.000000e+00    0.000000e+00    5.365920e-01    5.702217e+00
     129        0.000233    0.000000e+00    0.000000e+00    0.000000e+00    4.258189e+00
     130        0.000401    0.000000e+00    0.000000e+00    0.000000e+00    3.257484e+00
     133        0.000038    0.000000e+00    0.000000e+00    2.112777e+00    1.573491e+01
     134        0.000031    0.000000e+00    0.000000e+00    1.373170e+00    1.141151e+01
     135        0.000034    0.000000e+00    0.000000e+00    9.776173e-01    8.796759e+00
     136        0.000037    0.000000e+00    0.000000e+00    6.957703e-01    6.548671e+00
     137        0.000048    0.000000e+00    0.000000e+00    4.706731e-01    4.292816e+00
     138        0.000055    0.000000e+00    0.000000e+00    0.000000e+00    3.754520e+00
     139        0.000095    0.000000e+00    0.000000e+00    0.000000e+00    3.141663e+00
     201        0.000049    8.575644e+02    1.142135e-08    5.199262e+02    1.505649e+02
     202        0.000084    8.425408e+02    1.122136e-08    5.107769e+02    1.475645e+02
     203        0.000126    8.191162e+02    1.090948e-08    4.962704e+02    1.429156e+02
     204        0.000168    7.889884e+02    1.050848e-08    4.778308e+02    1.366122e+02
     205        0.000210    7.524749e+02    1.002257e-08    4.555271e+02    1.288415e+02
     206        0.000251    7.173395e+02    9.555285e-09    4.336018e+02    1.198901e+02
     207        0.000293    6.979671e+02    9.298641e-09    4.204747e+02    1.101231e+02
     208        0.000293    7.368284e+02    9.819196e-09    4.406351e+02    1.008518e+02
     210        0.000352    0.000000e+00    0.000000e+00    3.652294e+01    2.065466e+01
     251        0.000428    0.000000e+00    0.000000e+00    4.259619e+01    3.331612e+01
     301        0.000049    1.030532e+03    1.372503e-08    6.253971e+02    1.809169e+02
     302        0.000084    1.012611e+03    1.348642e-08    6.144123e+02    1.773282e+02
     303        0.000126    9.834504e+02    1.309819e-08    5.965734e+02    1.717821e+02
     304        0.000168    9.476045e+02    1.262105e-08    5.744964e+02    1.642776e+02
     305        0.000210    9.059296e+02    1.206649e-08    5.488550e+02    1.550293e+02
