
=============================================================================================================================================================================

                                                                             Core map (t=0)

=============================================================================================================================================================================
 Block average:
  Blk ID          Volume Fission neutron           Power      Absorption     Scalar flux
       9        0.001328    0.000000e+00    0.000000e+00    1.497179e+01    1.009459e+02
      20        0.001174    0.000000e+00    0.000000e+00    0.000000e+00    5.732001e+00
      40        0.001290    0.000000e+00    0.000000e+00    0.000000e+00    5.820872e+00
      71        0.000037    3.451619e+02    4.596275e-09    2.096100e+02    6.436646e+01
      72        0.000063    3.379736e+02    4.500569e-09    2.052154e+02    6.300900e+01
      73        0.000095    3.279957e+02    4.367772e-09    1.991381e+02    6.092001e+01
      74        0.000127    3.147314e+02    4.191227e-09    1.910132e+02    5.807208e+01
      75        0.000158    2.991292e+02    3.983643e-09    1.814304e+02    5.453637e+01
      76        0.000190    2.823637e+02    3.760638e-09    1.711212e+02    5.040675e+01
      77        0.000222    2.683036e+02    3.573877e-09    1.621811e+02    4.579784e+01
      78        0.000222    2.720343e+02    3.624532e-09    1.634108e+02    4.141430e+01
      79        0.000127    0.000000e+00    0.000000e+00    5.267941e+00    3.890192e+01
      81        0.000028    3.767003e+02    5.016868e-09    2.292791e+02    6.960734e+01
      82        0.000047    3.692835e+02    4.918111e-09    2.246969e+02    6.817881e+01
      83        0.000071    3.593121e+02    4.785384e-09    2.185774e+02    6.595781e+01
      84        0.000095    3.455211e+02    4.601836e-09    2.100930e+02    6.293423e+01
      85        0.000118    3.281821e+02    4.371060e-09    1.994402e+02    5.918695e+01
      86        0.000142    3.110645e+02    4.143384e-09    1.888017e+02    5.483607e+01
      87        0.000166    2.980392e+02    3.970425e-09    1.803119e+02    5.002982e+01
      88        0.000166    3.052705e+02    4.067807e-09    1.835679e+02    4.553925e+01
      89        0.000095    0.000000e+00    0.000000e+00    5.846416e+00    4.297134e+01
     101        0.000048    6.217115e+02    8.279840e-09    3.765198e+02    1.101297e+02
     102        0.000083    6.101191e+02    8.125492e-09    3.695138e+02    1.078922e+02
     103        0.000124    5.926666e+02    7.893150e-09    3.588432e+02    1.044407e+02
     104        0.000166    5.706374e+02    7.599958e-09    3.452994e+02    9.975050e+01
     105        0.000207    5.435434e+02    7.239392e-09    3.287655e+02    9.394855e+01
     106        0.000249    5.158200e+02    6.870642e-09    3.116467e+02    8.723353e+01
     107        0.000290    4.966231e+02    6.615893e-09    2.992363e+02    7.983421e+01
