
=============================================================================================================================================================================

                                                                             Core map (t=0)

=============================================================================================================================================================================
 Block average:
  Blk ID          Volume Fission neutron           Power      Absorption     Scalar flux
       9        0.001336    0.000000e+00    0.000000e+00    1.556388e+01    9.896583e+01
      20        0.001174    0.000000e+00    0.000000e+00    0.000000e+00    5.601070e+00
      40        0.001290    0.000000e+00    0.000000e+00    0.000000e+00    5.690353e+00
      71        0.000037    3.449591e+02    4.593821e-09    2.090176e+02    6.292019e+01
      72        0.000063    3.386504e+02    4.509869e-09    2.052181e+02    6.160340e+01
      73        0.000095    3.286326e+02    4.376530e-09    1.991005e+02    5.955839e+01
      74        0.000127    3.151239e+02    4.196722e-09    1.908690e+02    5.675738e+01
      75        0.000158    2.994846e+02    3.988623e-09    1.812541e+02    5.328392e+01
      76        0.000190    2.821763e+02    3.758365e-09    1.706449e+02    4.923065e+01
      77        0.000222    2.689895e+02    3.583225e-09    1.621656e+02    4.471861e+01
      78        0.000222    2.729082e+02    3.636383e-09    1.634498e+02    4.043242e+01
      79        0.000127    0.000000e+00    0.000000e+00    5.463429e+00    3.794835e+01
      81        0.000028    3.777316e+02    5.030912e-09    2.293087e+02    6.803171e+01
      82        0.000047    3.702379e+02    4.931137e-09    2.247345e+02    6.660958e+01
      83        0.000071    3.593413e+02    4.786062e-09    2.180866e+02    6.441848e+01
      84        0.000095    3.455360e+02    4.602303e-09    2.096098e+02    6.144316e+01
      85        0.000118    3.285085e+02    4.375692e-09    1.991756e+02    5.776625e+01
      86        0.000142    3.107322e+02    4.139201e-09    1.882344e+02    5.349866e+01
      87        0.000166    2.979426e+02    3.969371e-09    1.799349e+02    4.879339e+01
      88        0.000166    3.051247e+02    4.066083e-09    1.829851e+02    4.440992e+01
      89        0.000095    0.000000e+00    0.000000e+00    6.045769e+00    4.188121e+01
     101        0.000049    6.245287e+02    8.317877e-09    3.775453e+02    1.079739e+02
     102        0.000084    6.122729e+02    8.154726e-09    3.702028e+02    1.057509e+02
     103        0.000125    5.948551e+02    7.922830e-09    3.595021e+02    1.023379e+02
     104        0.000167    5.714324e+02    7.611031e-09    3.452090e+02    9.770570e+01
     105        0.000209    5.444791e+02    7.252312e-09    3.287508e+02    9.199092e+01
     106        0.000251    5.164523e+02    6.879492e-09    3.115106e+02    8.538244e+01
     107        0.000292    4.982230e+02    6.637616e-09    2.995704e+02    7.811746e+01
     108        0.000292    5.170550e+02    6.890389e-09    3.087280e+02    7.119486e+01
     124        0.000161    0.000000e+00    0.000000e+00    2.260003e+00    1.957050e+01
     125        0.000129    0.000000e+00    0.000000e+00    1.514882e+00    1.478339e+01
     126        0.000142    0.000000e+00    0.000000e+00    1.094421e+00    1.158272e+01
     127        0.000155    0.000000e+00    0.000000e+00    7.900892e-01    8.713404e+00
     128        0.000204    0.000000e+00    0.000000e+00    5.332920e-01    5.668935e+00
     129        0.000233    0.000000e+00    0.000000e+00    0.000000e+00    4.233644e+00
     130        0.000401    0.000000e+00    0.000000e+00    0.000000e+00    3.238811e+00
     133        0.000038    0.000000e+00    0.000000e+00    2.096799e+00    1.562303e+01
     134        0.000031    0.000000e+00    0.000000e+00    1.363865e+00    1.133919e+01
     135        0.000034    0.000000e+00    0.000000e+00    9.713401e-01    8.743710e+00
     136        0.000037    0.000000e+00    0.000000e+00    6.914748e-01    6.510353e+00
     137        0.000048    0.000000e+00    0.000000e+00    4.678751e-01    4.268238e+00
     138        0.000055    0.000000e+00    0.000000e+00    0.000000e+00    3.733137e+00
     139        0.000095    0.000000e+00    0.000000e+00    0.000000e+00    3.123831e+00
     201        0.000049    8.681165e+02    1.156211e-08    5.257837e+02    1.502994e+02
     202        0.000084    8.520789e+02    1.134860e-08    5.159393e+02    1.472654e+02
     203        0.000125    8.280117e+02    1.102817e-08    5.011932e+02    1.425891e+02
     204        0.000167    7.973250e+02    1.061972e-08    4.823402e+02    1.362445e+02
     205        0.000209    7.601893e+02    1.012550e-08    4.596528e+02    1.284214e+02
     206        0.000251    7.239692e+02    9.643761e-09    4.371731e+02    1.194082e+02
     207        0.000292    7.040392e+02    9.379716e-09    4.237156e+02    1.095831e+02
     208        0.000292    7.421158e+02    9.889795e-09    4.433174e+02    1.002719e+02
     210        0.000352    0.000000e+00    0.000000e+00    3.607389e+01    2.053095e+01
     251        0.000428    0.000000e+00    0.000000e+00    4.224492e+01    3.311492e+01
     301        0.000049    1.042176e+03    1.388034e-08    6.317828e+02    1.805507e+02
     302        0.000084    1.023117e+03    1.362658e-08    6.201959e+02    1.769377e+02
     303        0.000125    9.949131e+02    1.325112e-08    6.028602e+02    1.713705e+02
     304        0.000167    9.577842e+02    1.275689e-08    5.800242e+02    1.638176e+02
     305        0.000209    9.147732e+02    1.218451e-08    5.536139e+02    1.545050e+02
     306        0.000251    8.725483e+02    1.162297e-08    5.273360e+02    1.437847e+02
     307        0.000292    8.509495e+02    1.133700e-08    5.125025e+02    1.321293e+02
     308        0.000292    9.033839e+02    1.203903e-08    5.399827e+02    1.211164e+02
     340        0.000101    0.000000e+00    0.000000e+00    4.033927e+01    2.948749e+01
     401        0.000049    1.133655e+03    1.509874e-08    6.876654e+02    1.963508e+02
     402        0.000084    1.112718e+03    1.481996e-08    6.747442e+02    1.924387e+02
     403        0.000125    1.081980e+03    1.441074e-08    6.559403e+02    1.863988e+02
     404        0.000167    1.042165e+03    1.388079e-08    6.315069e+02    1.781996e+02
     405        0.000209    9.953764e+02    1.325814e-08    6.027122e+02    1.681021e+02
     406        0.000251    9.492324e+02    1.264445e-08    5.739477e+02    1.564934e+02
     407        0.000292    9.279622e+02    1.236304e-08    5.590531e+02    1.438831e+02
     408        0.000292    9.872016e+02    1.315607e-08    5.902514e+02    1.319808e+02
     410        0.000387    0.000000e+00    0.000000e+00    1.726006e+01    2.173127e+01
     501        0.000049    1.134390e+03    1.510856e-08    6.880337e+02    1.964020e+02
     502        0.000084    1.112975e+03    1.482337e-08    6.749333e+02    1.924853e+02
     503        0.000125    1.081967e+03    1.441059e-08    6.559426e+02    1.864346e+02
     504        0.000167    1.042102e+03    1.387994e-08    6.314485e+02    1.782274e+02
     505        0.000209    9.951794e+02    1.325551e-08    6.025496e+02    1.681211e+02
     506        0.000251    9.491725e+02    1.264366e-08    5.739538e+02    1.565030e+02
     507        0.000292    9.277697e+02    1.236048e-08    5.590444e+02    1.438918e+02
     508        0.000292    9.873854e+02    1.315852e-08    5.903343e+02    1.319902e+02
     601        0.000049    1.042991e+03    1.389119e-08    6.322553e+02    1.806559e+02
     602        0.000084    1.024150e+03    1.364036e-08    6.207709e+02    1.770414e+02
     603        0.000125    9.956393e+02    1.326076e-08    6.031899e+02    1.714619e+02
     604        0.000167    9.580782e+02    1.276080e-08    5.801998e+02    1.638847e+02
     605        0.000209    9.151596e+02    1.218966e-08    5.538062e+02    1.545602e+02
     606        0.000251    8.722368e+02    1.161880e-08    5.272016e+02    1.438302e+02
     607        0.000292    8.511271e+02    1.133936e-08    5.126272e+02    1.321665e+02
     608        0.000292    9.032720e+02    1.203754e-08    5.398917e+02    1.211424e+02
     701        0.000049    8.688175e+02    1.157144e-08    5.261364e+02    1.504578e+02
     702        0.000084    8.524798e+02    1.135390e-08    5.161439e+02    1.474175e+02
     703        0.000125    8.289197e+02    1.104025e-08    5.016966e+02    1.427347e+02
     704        0.000167    7.972832e+02    1.061914e-08    4.823857e+02    1.363674e+02
     705        0.000209    7.608402e+02    1.013415e-08    4.599656e+02    1.285197e+02
     706        0.000251    7.235450e+02    9.638100e-09    4.369152e+02    1.194758e+02
     707        0.000292    7.036039e+02    9.373884e-09    4.235005e+02    1.096229e+02
     708        0.000292    7.414072e+02    9.880346e-09    4.429370e+02    1.002844e+02
     801        0.000049    6.222091e+02    8.286838e-09    3.762430e+02    1.081651e+02
     802        0.000084    6.104906e+02    8.130812e-09    3.691498e+02    1.059457e+02
     803        0.000125    5.932551e+02    7.901377e-09    3.585748e+02    1.025201e+02
     804        0.000167    5.697943e+02    7.589051e-09    3.442548e+02    9.785485e+01
     805        0.000209    5.425305e+02    7.226215e-09    3.276030e+02    9.208411e+01
     806        0.000251    5.141951e+02    6.849304e-09    3.101417e+02    8.540648e+01
     807        0.000292    4.955762e+02    6.602237e-09    2.979991e+02    7.807140e+01
     808        0.000292    5.136825e+02    6.845334e-09    3.067440e+02    7.107874e+01
    1000        0.000210    0.000000e+00    0.000000e+00    4.744698e+01    9.735566e+01
    1100        0.000295    0.000000e+00    0.000000e+00    1.739577e+02    9.659257e+01
    1200        0.005101    0.000000e+00    0.000000e+00    7.498969e+00    8.736038e+01
    1300        0.004111    0.000000e+00    0.000000e+00    5.037217e+00    7.388956e+01
    1400        0.004520    0.000000e+00    0.000000e+00    3.740939e+00    6.244699e+01
    1401        0.000020    0.000000e+00    0.000000e+00    1.644090e+01    3.760413e+01
    1402        0.000015    0.000000e+00    0.000000e+00    1.839409e+01    4.151348e+01
    1500        0.004928    0.000000e+00    0.000000e+00    2.820191e+00    5.137063e+01
    1501        0.000028    0.000000e+00    0.000000e+00    5.702403e+01    3.646767e+01
    1502        0.000021    0.000000e+00    0.000000e+00    6.442258e+01    4.031794e+01
    1600        0.006498    0.000000e+00    0.000000e+00    2.060394e+00    3.967789e+01
    1601        0.000484    0.000000e+00    0.000000e+00    3.113715e+00    3.095016e+01
    1602        0.000361    0.000000e+00    0.000000e+00    3.280647e+00    3.451804e+01
    1700        0.007393    0.000000e+00    0.000000e+00    1.408597e+00    2.760012e+01
    1701        0.000390    0.000000e+00    0.000000e+00    2.075131e+00    2.451933e+01
    1702        0.000291    0.000000e+00    0.000000e+00    2.201997e+00    2.753614e+01
    1800        0.012744    0.000000e+00    0.000000e+00    7.546841e-01    1.346295e+01
    1801        0.000428    0.000000e+00    0.000000e+00    1.510109e+00    1.969320e+01
    1802        0.000320    0.000000e+00    0.000000e+00    1.610806e+00    2.217950e+01
    1901        0.000467    0.000000e+00    0.000000e+00    1.101182e+00    1.515561e+01
    1902        0.000349    0.000000e+00    0.000000e+00    1.179548e+00    1.710600e+01
    2001        0.000616    0.000000e+00    0.000000e+00    7.481482e-01    9.986747e+00
    2002        0.000460    0.000000e+00    0.000000e+00    8.026564e-01    1.126849e+01
    2101        0.000701    0.000000e+00    0.000000e+00    0.000000e+00    6.067783e+00
    2102        0.000523    0.000000e+00    0.000000e+00    0.000000e+00    6.617439e+00
    2201        0.001208    0.000000e+00    0.000000e+00    0.000000e+00    3.654605e+00
    2202        0.000902    0.000000e+00    0.000000e+00    0.000000e+00    3.788084e+00

 Block max:
  Blk ID Fission neutron           Power      Absorption     Scalar flux
       9    0.000000e+00    0.000000e+00    1.995536e+01    1.265544e+02
      20    0.000000e+00    0.000000e+00    0.000000e+00    1.461418e+01
      40    0.000000e+00    0.000000e+00    0.000000e+00    1.557068e+01
      71    3.472686e+02    4.624568e-09    2.104355e+02    6.339995e+01
      72    3.431801e+02    4.570162e-09    2.079986e+02    6.256986e+01
      73    3.355266e+02    4.468293e-09    2.033011e+02    6.099211e+01
      74    3.251863e+02    4.330653e-09    1.969985e+02    5.886964e+01
      75    3.115080e+02    4.148617e-09    1.885997e+02    5.593182e+01
      76    2.958672e+02    3.940470e-09    1.790794e+02    5.254841e+01
      77    2.794999e+02    3.722802e-09    1.690280e+02    4.848448e+01
      78    2.928972e+02    3.903403e-09    1.740574e+02    4.417545e+01
      79    0.000000e+00    0.000000e+00    5.599341e+00    3.936105e+01
      81    3.804490e+02    5.067095e-09    2.309566e+02    6.855065e+01
      82    3.755790e+02    5.002248e-09    2.279776e+02    6.765109e+01
      83    3.668992e+02    4.886679e-09    2.226973e+02    6.595065e+01
      84    3.561745e+02    4.743917e-09    2.161097e+02    6.368596e+01
      85    3.411225e+02    4.543558e-09    2.069034e+02    6.056838e+01
      86    3.249802e+02    4.328731e-09    1.970452e+02    5.699352e+01
      87    3.134602e+02    4.177405e-09    1.866452e+02    5.272515e+01
      88    3.288308e+02    4.382709e-09    1.956545e+02    4.826307e+01
      89    0.000000e+00    0.000000e+00    6.181723e+00    4.339011e+01
     101    6.289212e+02    8.376364e-09    3.802065e+02    1.087858e+02
     102    6.209024e+02    8.269619e-09    3.754344e+02    1.073763e+02
     103    6.071621e+02    8.086681e-09    3.669748e+02    1.047241e+02
     104    5.886984e+02    7.840872e-09    3.557160e+02    1.011954e+02
     105    5.648282e+02    7.523116e-09    3.411669e+02    9.634094e+01
     106    5.386864e+02    7.175221e-09    3.252134e+02    9.077236e+01
     107    5.357130e+02    7.139511e-09    3.171465e+02    8.411245e+01
     108    5.644113e+02    7.523562e-09    3.329242e+02    7.705634e+01
     124    0.000000e+00    0.000000e+00    2.941237e+00    2.399855e+01
     125    0.000000e+00    0.000000e+00    1.964292e+00    1.787921e+01
     126    0.000000e+00    0.000000e+00    1.348865e+00    1.362593e+01
     127    0.000000e+00    0.000000e+00    9.810384e-01    1.048825e+01
     128    0.000000e+00    0.000000e+00    6.910976e-01    7.298767e+00
     129    0.000000e+00    0.000000e+00    0.000000e+00    5.146869e+00
     130    0.000000e+00    0.000000e+00    0.000000e+00    4.577278e+00
     133    0.000000e+00    0.000000e+00    2.834766e+00    2.031461e+01
     134    0.000000e+00    0.000000e+00    1.795190e+00    1.396427e+01
     135    0.000000e+00    0.000000e+00    1.207833e+00    1.038615e+01
     136    0.000000e+00    0.000000e+00    8.639485e-01    7.891371e+00
     137    0.000000e+00    0.000000e+00    6.074121e-01    5.482132e+00
     138    0.000000e+00    0.000000e+00    0.000000e+00    4.503643e+00
     139    0.000000e+00    0.000000e+00    0.000000e+00    4.299477e+00
     201    8.739677e+02    1.164002e-08    5.293454e+02    1.514070e+02
     202    8.636487e+02    1.150263e-08    5.229804e+02    1.494881e+02
     203    8.447538e+02    1.125106e-08    5.113851e+02    1.458595e+02
     204    8.207915e+02    1.093209e-08    4.966459e+02    1.410257e+02
     205    7.874187e+02    1.048784e-08    4.763126e+02    1.343736e+02
     206    7.530196e+02    1.003009e-08    4.551579e+02    1.267482e+02
