
=============================================================================================================================================================================

                                                                             Core map (t=0)

=============================================================================================================================================================================
 Block average:
  Blk ID          Volume Fission neutron           Power      Absorption     Scalar flux
       9        0.001341    0.000000e+00    0.000000e+00    1.468595e+01    9.948667e+01
      20        0.001174    0.000000e+00    0.000000e+00    0.000000e+00    5.630053e+00
      40        0.001290    0.000000e+00    0.000000e+00    0.000000e+00    5.720339e+00
      71        0.000037    3.418011e+02    4.551747e-09    2.074081e+02    6.306033e+01
      72        0.000063    3.359240e+02    4.473525e-09    2.037321e+02    6.174317e+01
      73        0.000095    3.259328e+02    4.340535e-09    1.976133e+02    5.969758e+01
      74        0.000127    3.125027e+02    4.161758e-09    1.894380e+02    5.691033e+01
      75        0.000158    2.971714e+02    3.957760e-09    1.800777e+02    5.344326e+01
      76        0.000190    2.798933e+02    3.727909e-09    1.694272e+02    4.940028e+01
      77        0.000222    2.670396e+02    3.557220e-09    1.611643e+02    4.489844e+01
      78        0.000222    2.713709e+02    3.615866e-09    1.626987e+02    4.061588e+01
      79        0.000127    0.000000e+00    0.000000e+00    5.144291e+00    3.815050e+01
      81        0.000028    3.738438e+02    4.979040e-09    2.273028e+02    6.811778e+01
      82        0.000047    3.661644e+02    4.876808e-09    2.225760e+02    6.671084e+01
      83        0.000071    3.554267e+02    4.733878e-09    2.159217e+02    6.453173e+01
      84        0.000095    3.419295e+02    4.554210e-09    2.076814e+02    6.157447e+01
      85        0.000118    3.257125e+02    4.338397e-09    1.976665e+02    5.792264e+01
      86        0.000142    3.085225e+02    4.109730e-09    1.870412e+02    5.368248e+01
      87        0.000166    2.956685e+02    3.939026e-09    1.787039e+02    4.899788e+01
      88        0.000166    3.038808e+02    4.049477e-09    1.823644e+02    4.462533e+01
      89        0.000095    0.000000e+00    0.000000e+00    5.703178e+00    4.211120e+01
     101        0.000049    6.169861e+02    8.217343e-09    3.733143e+02    1.080122e+02
     102        0.000084    6.058151e+02    8.068578e-09    3.665460e+02    1.058283e+02
     103        0.000126    5.888289e+02    7.842453e-09    3.561897e+02    1.024457e+02
     104        0.000168    5.657837e+02    7.535678e-09    3.421174e+02    9.784285e+01
     105        0.000209    5.394201e+02    7.184831e-09    3.259910e+02    9.216892e+01
     106        0.000251    5.124883e+02    6.826607e-09    3.092936e+02    8.561093e+01
     107        0.000293    4.944810e+02    6.587677e-09    2.975824e+02    7.839172e+01
     108        0.000293    5.142653e+02    6.853134e-09    3.072641e+02    7.150229e+01
     124        0.000161    0.000000e+00    0.000000e+00    2.274251e+00    1.968395e+01
     125        0.000129    0.000000e+00    0.000000e+00    1.523619e+00    1.486017e+01
     126        0.000142    0.000000e+00    0.000000e+00    1.100438e+00    1.163992e+01
     127        0.000155    0.000000e+00    0.000000e+00    7.942802e-01    8.755166e+00
     128        0.000204    0.000000e+00    0.000000e+00    5.360226e-01    5.695583e+00
     129        0.000233    0.000000e+00    0.000000e+00    0.000000e+00    4.253312e+00
     130        0.000401    0.000000e+00    0.000000e+00    0.000000e+00    3.253779e+00
     133        0.000038    0.000000e+00    0.000000e+00    2.110936e+00    1.571608e+01
     134        0.000031    0.000000e+00    0.000000e+00    1.371927e+00    1.139855e+01
     135        0.000034    0.000000e+00    0.000000e+00    9.767168e-01    8.787036e+00
     136        0.000037    0.000000e+00    0.000000e+00    6.951278e-01    6.541599e+00
     137        0.000048    0.000000e+00    0.000000e+00    4.702489e-01    4.288308e+00
     138        0.000055    0.000000e+00    0.000000e+00    0.000000e+00    3.750536e+00
     139        0.000095    0.000000e+00    0.000000e+00    0.000000e+00    3.138330e+00
     201        0.000049    8.588798e+02    1.143895e-08    5.205195e+02    1.504035e+02
     202        0.000084    8.436962e+02    1.123681e-08    5.113115e+02    1.474038e+02
     203        0.000126    8.204286e+02    1.092703e-08    4.968953e+02    1.427589e+02
     204        0.000168    7.900293e+02    1.052241e-08    4.782868e+02    1.364557e+02
     205        0.000209    7.535227e+02    1.003658e-08    4.559819e+02    1.286877e+02
     206        0.000251    7.183590e+02    9.568921e-09    4.340467e+02    1.197423e+02
     207        0.000293    6.990510e+02    9.313142e-09    4.209594e+02    1.099840e+02
     208        0.000293    7.382041e+02    9.837586e-09    4.412563e+02    1.007195e+02
     210        0.000352    0.000000e+00    0.000000e+00    3.644636e+01    2.062907e+01
     251        0.000428    0.000000e+00    0.000000e+00    4.252336e+01    3.327168e+01
     301        0.000049    1.032204e+03    1.374738e-08    6.261700e+02    1.807233e+02
     302        0.000084    1.014225e+03    1.350799e-08    6.151463e+02    1.771354e+02
     303        0.000126    9.848887e+02    1.311743e-08    5.972416e+02    1.715928e+02
     304        0.000168    9.490153e+02    1.263993e-08    5.751517e+02    1.640894e+02
     305        0.000209    9.070975e+02    1.208212e-08    5.493587e+02    1.548436e+02
     306        0.000251    8.656676e+02    1.153119e-08    5.235537e+02    1.441908e+02
     307        0.000293    8.451596e+02    1.125975e-08    5.093446e+02    1.326116e+02
     308        0.000293    8.987560e+02    1.197724e-08    5.375307e+02    1.216610e+02
     340        0.000101    0.000000e+00    0.000000e+00    4.063297e+01    2.964821e+01
     401        0.000049    1.122455e+03    1.494938e-08    6.813285e+02    1.965308e+02
     402        0.000084    1.101517e+03    1.467058e-08    6.684351e+02    1.926336e+02
     403        0.000126    1.071309e+03    1.426843e-08    6.499650e+02    1.866262e+02
     404        0.000168    1.031693e+03    1.374112e-08    6.256727e+02    1.784854e+02
     405        0.000209    9.875813e+02    1.315416e-08    5.983766e+02    1.684790e+02
     406        0.000251    9.424563e+02    1.255403e-08    5.702158e+02    1.569491e+02
     407        0.000293    9.211054e+02    1.227154e-08    5.553921e+02    1.444162e+02
     408        0.000293    9.824732e+02    1.309294e-08    5.877749e+02    1.325795e+02
     410        0.000387    0.000000e+00    0.000000e+00    1.738666e+01    2.185138e+01
     501        0.000049    1.121092e+03    1.493119e-08    6.805360e+02    1.965302e+02
     502        0.000084    1.102068e+03    1.467791e-08    6.688598e+02    1.926571e+02
     503        0.000126    1.071236e+03    1.426748e-08    6.499537e+02    1.866611e+02
     504        0.000168    1.032328e+03    1.374957e-08    6.259184e+02    1.785229e+02
     505        0.000209    9.867111e+02    1.314253e-08    5.979704e+02    1.685053e+02
     506        0.000251    9.419523e+02    1.254732e-08    5.699934e+02    1.569805e+02
     507        0.000293    9.216318e+02    1.227857e-08    5.556608e+02    1.444503e+02
     508        0.000293    9.824843e+02    1.309306e-08    5.878015e+02    1.326083e+02
     601        0.000049    1.031985e+03    1.374443e-08    6.260680e+02    1.807783e+02
     602        0.000084    1.013292e+03    1.349553e-08    6.146759e+02    1.772071e+02
     603        0.000126    9.858814e+02    1.313063e-08    5.977961e+02    1.716862e+02
     604        0.000168    9.497345e+02    1.264952e-08    5.755931e+02    1.641772e+02
     605        0.000209    9.075117e+02    1.208764e-08    5.496850e+02    1.549205e+02
     606        0.000251    8.658582e+02    1.153371e-08    5.236732e+02    1.442670e+02
     607        0.000293    8.456164e+02    1.126581e-08    5.096862e+02    1.326817e+02
     608        0.000293    8.989915e+02    1.198036e-08    5.376552e+02    1.217155e+02
     701        0.000049    8.588090e+02    1.143797e-08    5.205975e+02    1.505666e+02
     702        0.000084    8.431771e+02    1.122981e-08    5.109866e+02    1.475552e+02
     703        0.000126    8.209131e+02    1.093347e-08    4.972393e+02    1.429142e+02
     704        0.000168    7.894404e+02    1.051452e-08    4.781197e+02    1.366015e+02
     705        0.000209    7.537778e+02    1.003993e-08    4.561143e+02    1.288036e+02
     706        0.000251    7.183171e+02    9.568345e-09    4.341474e+02    1.198231e+02
     707        0.000293    6.983572e+02    9.303879e-09    4.206685e+02    1.100316e+02
     708        0.000293    7.376401e+02    9.830038e-09    4.409248e+02    1.007428e+02
     801        0.000049    6.161042e+02    8.205433e-09    3.728338e+02    1.082741e+02
     802        0.000084    6.048950e+02    8.056183e-09    3.659814e+02    1.060704e+02
     803        0.000126    5.872220e+02    7.820881e-09    3.552479e+02    1.026653e+02
     804        0.000168    5.649033e+02    7.523846e-09    3.415792e+02    9.802591e+01
     805        0.000209    5.377933e+02    7.163047e-09    3.249309e+02    9.228446e+01
     806        0.000251    5.100143e+02    6.793526e-09    3.078547e+02    8.564141e+01
     807        0.000293    4.919055e+02    6.553257e-09    2.960160e+02    7.834480e+01
     808        0.000293    5.107272e+02    6.805878e-09    3.052239e+02    7.138248e+01
    1000        0.000211    0.000000e+00    0.000000e+00    4.782486e+01    9.788814e+01
    1100        0.000296    0.000000e+00    0.000000e+00    1.754575e+02    9.712742e+01
    1200        0.005118    0.000000e+00    0.000000e+00    7.540940e+00    8.785740e+01
    1300        0.004124    0.000000e+00    0.000000e+00    5.067332e+00    7.432135e+01
    1400        0.004534    0.000000e+00    0.000000e+00    3.764197e+00    6.281943e+01
    1401        0.000020    0.000000e+00    0.000000e+00    1.655922e+01    3.781647e+01
    1402        0.000015    0.000000e+00    0.000000e+00    1.853480e+01    4.175142e+01
    1500        0.004944    0.000000e+00    0.000000e+00    2.838239e+00    5.168275e+01
    1501        0.000028    0.000000e+00    0.000000e+00    5.745566e+01    3.667020e+01
    1502        0.000021    0.000000e+00    0.000000e+00    6.494193e+01    4.054601e+01
    1600        0.006518    0.000000e+00    0.000000e+00    2.073878e+00    3.992373e+01
    1601        0.000484    0.000000e+00    0.000000e+00    3.131412e+00    3.111166e+01
    1602        0.000361    0.000000e+00    0.000000e+00    3.298883e+00    3.470027e+01
    1700        0.007417    0.000000e+00    0.000000e+00    1.417949e+00    2.777448e+01
    1701        0.000390    0.000000e+00    0.000000e+00    2.086449e+00    2.464018e+01
    1702        0.000291    0.000000e+00    0.000000e+00    2.213893e+00    2.767257e+01
    1800        0.012785    0.000000e+00    0.000000e+00    7.596290e-01    1.354885e+01
    1801        0.000428    0.000000e+00    0.000000e+00    1.518150e+00    1.978779e+01
    1802        0.000320    0.000000e+00    0.000000e+00    1.619365e+00    2.228619e+01
    1901        0.000467    0.000000e+00    0.000000e+00    1.106928e+00    1.522734e+01
    1902        0.000349    0.000000e+00    0.000000e+00    1.185720e+00    1.718688e+01
    2001        0.000616    0.000000e+00    0.000000e+00    7.519518e-01    1.003361e+01
    2002        0.000460    0.000000e+00    0.000000e+00    8.067602e-01    1.132122e+01
    2101        0.000701    0.000000e+00    0.000000e+00    0.000000e+00    6.096140e+00
    2102        0.000523    0.000000e+00    0.000000e+00    0.000000e+00    6.648237e+00
    2201        0.001208    0.000000e+00    0.000000e+00    0.000000e+00    3.671605e+00
    2202        0.000902    0.000000e+00    0.000000e+00    0.000000e+00    3.805637e+00

 Block max:
  Blk ID Fission neutron           Power      Absorption     Scalar flux
       9    0.000000e+00    0.000000e+00    1.883195e+01    1.271873e+02
      20    0.000000e+00    0.000000e+00    0.000000e+00    1.470793e+01
      40    0.000000e+00    0.000000e+00    0.000000e+00    1.567771e+01
      71    3.441299e+02    4.582744e-09    2.088270e+02    6.353966e+01
      72    3.405067e+02    4.534515e-09    2.065310e+02    6.271060e+01
      73    3.328170e+02    4.432172e-09    2.018137e+02    6.112889e+01
      74    3.223854e+02    4.293294e-09    1.954651e+02    5.901381e+01
      75    3.091872e+02    4.117650e-09    1.874123e+02    5.608580e+01
      76    2.933468e+02    3.906851e-09    1.777236e+02    5.270832e+01
      77    2.777133e+02    3.700619e-09    1.679261e+02    4.865685e+01
      78    2.918397e+02    3.889283e-09    1.735713e+02    4.435433e+01
      79    0.000000e+00    0.000000e+00    5.272771e+00    3.955555e+01
      81    3.763970e+02    5.013034e-09    2.288614e+02    6.862961e+01
      82    3.711862e+02    4.943661e-09    2.256461e+02    6.774303e+01
      83    3.627230e+02    4.831009e-09    2.203874e+02    6.605510e+01
      84    3.524313e+02    4.694006e-09    2.141080e+02    6.380362e+01
      85    3.379086e+02    4.500690e-09    2.051581e+02    6.070655e+01
      86    3.223811e+02    4.294072e-09    1.956247e+02    5.715777e+01
      87    3.114827e+02    4.151008e-09    1.853343e+02    5.291463e+01
      88    3.279935e+02    4.371523e-09    1.952563e+02    4.847225e+01
      89    0.000000e+00    0.000000e+00    5.832111e+00    4.361381e+01
     101    6.213436e+02    8.275365e-09    3.759415e+02    1.088087e+02
     102    6.142716e+02    8.181166e-09    3.716653e+02    1.074306e+02
     103    6.007339e+02    8.000946e-09    3.634417e+02    1.048134e+02
     104    5.828151e+02    7.762393e-09    3.524853e+02    1.013094e+02
     105    5.593680e+02    7.450284e-09    3.381631e+02    9.648706e+01
     106    5.341669e+02    7.114932e-09    3.226685e+02    9.096252e+01
     107    5.328026e+02    7.100647e-09    3.156376e+02    8.435130e+01
     108    5.623182e+02    7.495584e-09    3.318499e+02    7.733878e+01
     124    0.000000e+00    0.000000e+00    2.962105e+00    2.415290e+01
     125    0.000000e+00    0.000000e+00    1.976144e+00    1.797660e+01
     126    0.000000e+00    0.000000e+00    1.356398e+00    1.369461e+01
     127    0.000000e+00    0.000000e+00    9.863298e-01    1.053914e+01
     128    0.000000e+00    0.000000e+00    6.946964e-01    7.333360e+00
     129    0.000000e+00    0.000000e+00    0.000000e+00    5.170834e+00
     130    0.000000e+00    0.000000e+00    0.000000e+00    4.598458e+00
     133    0.000000e+00    0.000000e+00    2.856993e+00    2.045371e+01
     134    0.000000e+00    0.000000e+00    1.806458e+00    1.404135e+01
     135    0.000000e+00    0.000000e+00    1.214676e+00    1.043879e+01
     136    0.000000e+00    0.000000e+00    8.686068e-01    7.929766e+00
     137    0.000000e+00    0.000000e+00    6.105463e-01    5.508133e+00
     138    0.000000e+00    0.000000e+00    0.000000e+00    4.524611e+00
     139    0.000000e+00    0.000000e+00    0.000000e+00    4.319448e+00
     201    8.646711e+02    1.151606e-08    5.240323e+02    1.514971e+02
     202    8.551110e+02    1.138878e-08    5.182445e+02    1.496054e+02
     203    8.367986e+02    1.114497e-08    5.068733e+02    1.460082e+02
     204    8.130286e+02    1.082856e-08    4.923274e+02    1.412045e+02
     205    7.804271e+02    1.039458e-08    4.724344e+02    1.345973e+02
     206    7.465074e+02    9.943223e-09    4.515072e+02    1.270290e+02
     207    7.710283e+02    1.027567e-08    4.565923e+02    1.180034e+02
     208    8.195510e+02    1.092474e-08    4.836532e+02    1.085250e+02
     210    0.000000e+00    0.000000e+00    4.343439e+01    2.724141e+01
     251    0.000000e+00    0.000000e+00    5.063851e+01    4.343115e+01
     301    1.039023e+03    1.383818e-08    6.303211e+02    1.820308e+02
     302    1.027605e+03    1.368613e-08    6.232987e+02    1.797669e+02
     303    1.004040e+03    1.337238e-08    6.089422e+02    1.754667e+02
     304    9.761037e+02    1.300049e-08    5.917100e+02    1.697435e+02
     305    9.388667e+02    1.250485e-08    5.688172e+02    1.618816e+02
     306    8.986189e+02    1.196933e-08    5.440434e+02    1.528636e+02
     307    9.415579e+02    1.254848e-08    5.577541e+02    1.421212e+02
     308    1.004545e+03    1.339086e-08    5.930586e+02    1.308851e+02
     340    0.000000e+00    0.000000e+00    4.942327e+01    3.901779e+01
     401    1.129940e+03    1.504904e-08    6.858777e+02    1.979515e+02
     402    1.116234e+03    1.486651e-08    6.773856e+02    1.954896e+02
