
=============================================================================================================================================================================

                                                                             Core map (t=0)

=============================================================================================================================================================================
 Block average:
  Blk ID          Volume Fission neutron           Power      Absorption     Scalar flux
       9        0.001345    0.000000e+00    0.000000e+00    1.461239e+01    9.932319e+01
      20        0.001174    0.000000e+00    0.000000e+00    0.000000e+00    5.601178e+00
      40        0.001290    0.000000e+00    0.000000e+00    0.000000e+00    5.680114e+00
      71        0.000037    3.394835e+02    4.520694e-09    2.062028e+02    6.272470e+01
      72        0.000063    3.333079e+02    4.438480e-09    2.024192e+02    6.141872e+01
      73        0.000095    3.236805e+02    4.310348e-09    1.965134e+02    5.938283e+01
      74        0.000127    3.100242e+02    4.128566e-09    1.881920e+02    5.659657e+01
      75        0.000158    2.946540e+02    3.924061e-09    1.787278e+02    5.314218e+01
      76        0.000190    2.781896e+02    3.705072e-09    1.685725e+02    4.911682e+01
      77        0.000222    2.654518e+02    3.535902e-09    1.603440e+02    4.462894e+01
      78        0.000222    2.674086e+02    3.562889e-09    1.606436e+02    4.036250e+01
      79        0.000127    0.000000e+00    0.000000e+00    5.002600e+00    3.791132e+01
      81        0.000028    3.732166e+02    4.970470e-09    2.270674e+02    6.803654e+01
      82        0.000047    3.674321e+02    4.893486e-09    2.232594e+02    6.663226e+01
      83        0.000071    3.558024e+02    4.738670e-09    2.163925e+02    6.444390e+01
      84        0.000095    3.418131e+02    4.552461e-09    2.077833e+02    6.146335e+01
      85        0.000118    3.259667e+02    4.341620e-09    1.979715e+02    5.778244e+01
      86        0.000142    3.086995e+02    4.111938e-09    1.871925e+02    5.350109e+01
      87        0.000166    2.960173e+02    3.943554e-09    1.789676e+02    4.878581e+01
      88        0.000166    3.026447e+02    4.032881e-09    1.817495e+02    4.440684e+01
      89        0.000095    0.000000e+00    0.000000e+00    5.821828e+00    4.191631e+01
     101        0.000049    6.197394e+02    8.253623e-09    3.752329e+02    1.082341e+02
     102        0.000084    6.081098e+02    8.098823e-09    3.681487e+02    1.060258e+02
     103        0.000126    5.908317e+02    7.868769e-09    3.575560e+02    1.026199e+02
     104        0.000168    5.676291e+02    7.559926e-09    3.433522e+02    9.797635e+01
     105        0.000210    5.406066e+02    7.200324e-09    3.268535e+02    9.224297e+01
     106        0.000252    5.130304e+02    6.833506e-09    3.098171e+02    8.560407e+01
     107        0.000294    4.941456e+02    6.582909e-09    2.975527e+02    7.829313e+01
     108        0.000294    5.104355e+02    6.801801e-09    3.054524e+02    7.133799e+01
     124        0.000161    0.000000e+00    0.000000e+00    2.255699e+00    1.957699e+01
     125        0.000129    0.000000e+00    0.000000e+00    1.512221e+00    1.478957e+01
     126        0.000142    0.000000e+00    0.000000e+00    1.092420e+00    1.158806e+01
     127        0.000155    0.000000e+00    0.000000e+00    7.885364e-01    8.717569e+00
     128        0.000204    0.000000e+00    0.000000e+00    5.320595e-01    5.671347e+00
