
=============================================================================================================================================================================

                                                                             Core map (t=0)

=============================================================================================================================================================================
 Block average:
  Blk ID          Volume Fission neutron           Power      Absorption     Scalar flux
       9        0.001345    0.000000e+00    0.000000e+00    1.472349e+01    9.911683e+01
      20        0.001174    0.000000e+00    0.000000e+00    0.000000e+00    5.582024e+00
      40        0.001290    0.000000e+00    0.000000e+00    0.000000e+00    5.670437e+00
      71        0.000037    3.404524e+02    4.533582e-09    2.067588e+02    6.274010e+01
      72        0.000063    3.350210e+02    4.461304e-09    2.032633e+02    6.142108e+01
      73        0.000095    3.244419e+02    4.320480e-09    1.968456e+02    5.936986e+01
      74        0.000127    3.114429e+02    4.147474e-09    1.889221e+02    5.657271e+01
      75        0.000158    2.952981e+02    3.932626e-09    1.789731e+02    5.310163e+01
      76        0.000190    2.785251e+02    3.709531e-09    1.687048e+02    4.905580e+01
      77        0.000222    2.647967e+02    3.527188e-09    1.599687e+02    4.454438e+01
      78        0.000222    2.680900e+02    3.571990e-09    1.609992e+02    4.027413e+01
      79        0.000127    0.000000e+00    0.000000e+00    5.148269e+00    3.784622e+01
      81        0.000028    3.722910e+02    4.958163e-09    2.265350e+02    6.779009e+01
      82        0.000047    3.652391e+02    4.864271e-09    2.221323e+02    6.638034e+01
      83        0.000071    3.548941e+02    4.726556e-09    2.157549e+02    6.420603e+01
      84        0.000095    3.404460e+02    4.534269e-09    2.069159e+02    6.124033e+01
      85        0.000118    3.237192e+02    4.311660e-09    1.966726e+02    5.756820e+01
      86        0.000142    3.068855e+02    4.087739e-09    1.862108e+02    5.331571e+01
      87        0.000166    2.937853e+02    3.913781e-09    1.777000e+02    4.861918e+01
      88        0.000166    3.000361e+02    3.998065e-09    1.803876e+02    4.425465e+01
      89        0.000095    0.000000e+00    0.000000e+00    5.698769e+00    4.178153e+01
     101        0.000049    6.174059e+02    8.222553e-09    3.738364e+02    1.078650e+02
     102        0.000084    6.058774e+02    8.069042e-09    3.667635e+02    1.056735e+02
